Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,CO,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Monash,"(-35.418302, 149.094018)",08/04/2020 22:00,0,0.021,0.022,0,7.61,4.84,0,0,21,28,15,19,28,08-Apr-20,22:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 0:00,0,0.018,0.02,0,7.68,4.68,0,0,18,26,15,18,26,09-Apr-20,0:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 0:00,,0.018,0.019,0,9.06,5.35,0,0,18,24,18,21,24,09-Apr-20,0:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 0:00,0,0.021,0.021,0.06,10.91,5.04,0,0,21,27,21,20,27,09-Apr-20,0:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 1:00,0,0.013,0.018,0,7.85,4.58,0,0,13,23,15,18,23,09-Apr-20,1:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 1:00,0,0.021,0.021,0.06,10.62,5.33,0,0,21,27,21,21,27,09-Apr-20,1:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 1:00,,0.018,0.018,0,9.11,5.31,0,0,18,23,18,21,23,09-Apr-20,1:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 23:00,,0.019,0.019,0,8.77,5.34,0,0,19,24,17,21,24,08-Apr-20,23:00:00
Monash,"(-35.418302, 149.094018)",08/04/2020 23:00,0,0.021,0.021,0,7.66,4.88,0,0,21,27,15,19,27,08-Apr-20,23:00:00
Florey,"(-35.220606, 149.043539)",08/04/2020 23:00,0,0.021,0.021,0.07,10.68,4.79,0,0,21,27,21,19,27,08-Apr-20,23:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 2:00,0,0.019,0.02,0.06,10.24,5.97,0,0,19,26,20,23,26,09-Apr-20,2:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 2:00,0,0.01,0.016,0,7.97,4.46,0,0,10,20,15,17,20,09-Apr-20,2:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 2:00,,0.016,0.018,0,8.92,5.08,0,0,16,22,17,20,22,09-Apr-20,2:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 3:00,0,0.013,0.014,0,7.74,4.21,0,0,13,17,15,16,17,09-Apr-20,3:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 3:00,,0.015,0.017,0,8.93,4.98,0,0,15,21,17,19,21,09-Apr-20,3:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 3:00,0,0.018,0.02,0.06,10.06,6.52,0,0,18,25,20,26,26,09-Apr-20,3:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 4:00,0,0.02,0.014,0,7.48,4.42,0,0,20,18,14,17,20,09-Apr-20,4:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 4:00,0,0.018,0.019,0.05,9.93,6.58,0,0,18,24,19,26,26,09-Apr-20,4:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 4:00,,0.016,0.016,0,8.76,4.83,0,0,16,21,17,19,21,09-Apr-20,4:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 5:00,0,0.02,0.016,0,7.34,4.19,0,0,20,20,14,16,20,09-Apr-20,5:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 5:00,,0.015,0.016,0,8.46,4.71,0,0,15,20,16,18,20,09-Apr-20,5:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 5:00,0,0.017,0.018,0.05,9.03,6.49,0,0,17,23,18,25,25,09-Apr-20,5:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 6:00,0,0.019,0.018,0,6.97,4.24,0,0,19,23,13,16,23,09-Apr-20,6:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 6:00,,0.014,0.015,0,8.15,4.58,0,0,14,19,16,18,19,09-Apr-20,6:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 6:00,0,0.017,0.018,0.05,9,6.31,0,0,17,22,18,25,25,09-Apr-20,6:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 7:00,,0.009,0.014,0,7.86,4.45,0,0,9,17,15,17,17,09-Apr-20,7:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 7:00,0.002,0.015,0.017,0.05,8.38,6.6,0,2,15,21,16,26,26,09-Apr-20,7:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 7:00,0.001,0.016,0.019,0,6.75,4.19,0,1,16,24,13,16,24,09-Apr-20,7:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 8:00,0.005,0.013,0.015,0.06,7.44,6.6,0,4,13,19,14,26,26,09-Apr-20,8:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 8:00,0,0.017,0.018,0,6.38,3.85,0,0,17,23,12,15,23,09-Apr-20,8:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 8:00,,0.006,0.011,0,7.63,4.3,0,0,6,14,15,17,17,09-Apr-20,8:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 9:00,0,0.018,0.017,0,6.22,3.96,0,0,18,22,12,15,22,09-Apr-20,9:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 9:00,0.005,0.013,0.014,0.06,7,6.84,0,4,13,18,14,27,27,09-Apr-20,9:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 9:00,,0.01,0.01,0,7.39,4.3,0,0,10,12,14,17,17,09-Apr-20,9:00:00
